"Survey Number","Name of State / UT","Latitude","Longitude","Class","Owner"
"761","Kerala","10.8505","76.2711","Non-Agricultural","Pooja Bhatia"
"227","Rajasthan","27.0238","74.2179","Agricultural Area","Rahul Chopra"
"765","Telengana","18.1124","79.0193","Residential Area","Riya Das"
"860","Uttar Pradesh","26.8467","80.9462","Agricultural Area","Sahil Gupta"
"708","Delhi","28.7041","77.1025","Non-Agricultural","Sakshi Jain"
"234","Haryana","29.0588","76.0856","Agricultural Area","Sanjay Khanna"
"286","Kerala","10.8505","76.2711","Non-Agricultural","Shreya Kumar"
"917","Rajasthan","27.0238","74.2179","Residential Area","Tanvi Mehta"
"344","Telengana","18.1124","79.0193","Residential Area","Varun Patel"
"282","Uttar Pradesh","26.8467","80.9462","Agricultural Area","Yash Sharma"
"146","Delhi","28.7041","77.1025","Residential Area","Aarav Agarwal"
"176","Haryana","29.0588","76.0856","Residential Area","Aarti Bhatia"
"671","Kerala","10.8505","76.2711","Non-Agricultural","Aditya Chopra"
"144","Rajasthan","27.0238","74.2179","Residential Area","Alisha Das"
"728","Telengana","18.1124","79.0193","Residential Area","Anika Gupta"
"517","Uttar Pradesh","26.8467","80.9462","Agricultural Area","Arjun Jain"
"625","Delhi","28.7041","77.1025","Non-Agricultural","Ayush Khanna"
"820","Haryana","29.0588","76.0856","Residential Area","Chetan Kumar"
"611","Kerala","10.8505","76.2711","Residential Area","Deepak Mehta"
"335","Rajasthan","27.0238","74.2179","Non-Agricultural","Divya Patel"
"348","Tamil Nadu","11.1271","78.6569","Non-Agricultural","Gaurav Sharma"
"191","Telengana","18.1124","79.0193","Agricultural Area","Ishaan Singh"
"688","Union Territory of Ladakh","34.2996","78.2932","Non-Agricultural","Jasmine Srivastava"
"303","Uttar Pradesh","26.8467","80.9462","Non-Agricultural","Kavita Trivedi"
"962","Delhi","28.7041","77.1025","Residential Area","Mohan Verma"
"525","Haryana","29.0588","76.0856","Agricultural Area","Neha Agarwal"
"416","Kerala","10.8505","76.2711","Agricultural Area","Pooja Bhatia"
"516","Rajasthan","27.0238","74.2179","Non-Agricultural","Rahul Chopra"
"925","Tamil Nadu","11.1271","78.6569","Agricultural Area","Riya Das"
"211","Telengana","18.1124","79.0193","Agricultural Area","Sahil Gupta"
"330","Union Territory of Ladakh","34.2996","78.2932","Residential Area","Sakshi Jain"
"456","Uttar Pradesh","26.8467","80.9462","Residential Area","Sanjay Khanna"
"492","Delhi","28.7041","77.1025","Residential Area","Shreya Kumar"
"222","Haryana","29.0588","76.0856","Residential Area","Tanvi Mehta"
"590","Karnataka","15.3173","75.7139","Residential Area","Varun Patel"
"802","Kerala","10.8505","76.2711","Agricultural Area","Yash Sharma"
"796","Maharashtra","19.7515","75.7139","Non-Agricultural","Aarav Agarwal"
"224","Punjab","31.1471","75.3412","Agricultural Area","Aarti Bhatia"
"286","Rajasthan","27.0238","74.2179","Agricultural Area","Aditya Chopra"
"895","Tamil Nadu","11.1271","78.6569","Residential Area","Alisha Das"
"814","Telengana","18.1124","79.0193","Residential Area","Anika Gupta"
"505","Union Territory of Jammu and Kashmir","33.7782","76.5762","Non-Agricultural","Arjun Jain"
"559","Union Territory of Ladakh","34.2996","78.2932","Residential Area","Ayush Khanna"
"586","Uttar Pradesh","26.8467","80.9462","Residential Area","Chetan Kumar"
"558","Delhi","28.7041","77.1025","Residential Area","Deepak Mehta"
"338","Haryana","29.0588","76.0856","Non-Agricultural","Divya Patel"
"534","Karnataka","15.3173","75.7139","Residential Area","Gaurav Sharma"
"594","Kerala","10.8505","76.2711","Agricultural Area","Ishaan Singh"
"790","Maharashtra","19.7515","75.7139","Residential Area","Jasmine Srivastava"
"776","Punjab","31.1471","75.3412","Agricultural Area","Kavita Trivedi"
"394","Rajasthan","27.0238","74.2179","Residential Area","Mohan Verma"
"592","Tamil Nadu","11.1271","78.6569","Residential Area","Neha Agarwal"
"324","Telengana","18.1124","79.0193","Residential Area","Pooja Bhatia"
"562","Union Territory of Jammu and Kashmir","33.7782","76.5762","Agricultural Area","Rahul Chopra"
"326","Union Territory of Ladakh","34.2996","78.2932","Residential Area","Riya Das"
"244","Uttar Pradesh","26.8467","80.9462","Residential Area","Sahil Gupta"
"635","Delhi","28.7041","77.1025","Residential Area","Sakshi Jain"
"548","Haryana","29.0588","76.0856","Residential Area","Sanjay Khanna"
"836","Karnataka","15.3173","75.7139","Residential Area","Shreya Kumar"
"159","Kerala","10.8505","76.2711","Residential Area","Tanvi Mehta"
"919","Maharashtra","19.7515","75.7139","Residential Area","Varun Patel"
"104","Punjab","31.1471","75.3412","Agricultural Area","Yash Sharma"
"148","Rajasthan","27.0238","74.2179","Agricultural Area","Aarav Agarwal"
"770","Tamil Nadu","11.1271","78.6569","Agricultural Area","Aarti Bhatia"
"542","Telengana","18.1124","79.0193","Agricultural Area","Aditya Chopra"
"168","Union Territory of Jammu and Kashmir","33.7782","76.5762","Agricultural Area","Alisha Das"
"721","Union Territory of Ladakh","34.2996","78.2932","Agricultural Area","Anika Gupta"
"839","Uttar Pradesh","26.8467","80.9462","Non-Agricultural","Arjun Jain"
"348","Andhra Pradesh","15.9129","79.74","Agricultural Area","Ayush Khanna"
"514","Delhi","28.7041","77.1025","Non-Agricultural","Chetan Kumar"
"234","Haryana","29.0588","76.0856","Agricultural Area","Deepak Mehta"
"284","Karnataka","15.3173","75.7139","Non-Agricultural","Divya Patel"
"742","Kerala","10.8505","76.2711","Agricultural Area","Gaurav Sharma"
"680","Maharashtra","19.7515","75.7139","Residential Area","Ishaan Singh"
"254","Punjab","31.1471","75.3412","Agricultural Area","Jasmine Srivastava"
"325","Rajasthan","27.0238","74.2179","Residential Area","Kavita Trivedi"
"359","Tamil Nadu","11.1271","78.6569","Agricultural Area","Mohan Verma"
"603","Telengana","18.1124","79.0193","Residential Area","Neha Agarwal"
"497","Union Territory of Jammu and Kashmir","33.7782","76.5762","Non-Agricultural","Pooja Bhatia"
"658","Union Territory of Ladakh","34.2996","78.2932","Non-Agricultural","Rahul Chopra"
"672","Uttar Pradesh","26.8467","80.9462","Agricultural Area","Riya Das"
"587","Andhra Pradesh","15.9129","79.74","Agricultural Area","Sahil Gupta"
"237","Delhi","28.7041","77.1025","Agricultural Area","Sakshi Jain"
"363","Haryana","29.0588","76.0856","Non-Agricultural","Sanjay Khanna"
"817","Karnataka","15.3173","75.7139","Agricultural Area","Aarav Agarwal"
"980","Kerala","10.8505","76.2711","Non-Agricultural","Aarti Bhatia"
"209","Maharashtra","19.7515","75.7139","Non-Agricultural","Aditya Chopra"
"397","Punjab","31.1471","75.3412","Non-Agricultural","Alisha Das"
"688","Rajasthan","27.0238","74.2179","Residential Area","Anika Gupta"
"332","Tamil Nadu","11.1271","78.6569","Agricultural Area","Arjun Jain"
"275","Telengana","18.1124","79.0193","Agricultural Area","Ayush Khanna"
"787","Union Territory of Jammu and Kashmir","33.7782","76.5762","Residential Area","Chetan Kumar"
"724","Union Territory of Ladakh","34.2996","78.2932","Agricultural Area","Deepak Mehta"
"744","Uttar Pradesh","26.8467","80.9462","Residential Area","Divya Patel"
"462","Andhra Pradesh","15.9129","79.74","Non-Agricultural","Gaurav Sharma"
"946","Delhi","28.7041","77.1025","Agricultural Area","Ishaan Singh"
"860","Haryana","29.0588","76.0856","Agricultural Area","Jasmine Srivastava"
"114","Karnataka","15.3173","75.7139","Agricultural Area","Kavita Trivedi"
"951","Kerala","10.8505","76.2711","Residential Area","Mohan Verma"
"829","Maharashtra","19.7515","75.7139","Non-Agricultural","Neha Agarwal"
"127","Punjab","31.1471","75.3412","Residential Area","Pooja Bhatia"
"694","Rajasthan","27.0238","74.2179","Non-Agricultural","Rahul Chopra"
"910","Tamil Nadu","11.1271","78.6569","Agricultural Area","Riya Das"
"952","Telengana","18.1124","79.0193","Residential Area","Sahil Gupta"
"928","Union Territory of Jammu and Kashmir","33.7782","76.5762","Non-Agricultural","Sakshi Jain"
"761","Union Territory of Ladakh","34.2996","78.2932","Non-Agricultural","Sanjay Khanna"
"272","Uttar Pradesh","26.8467","80.9462","Non-Agricultural","Shreya Kumar"
"549","Andhra Pradesh","15.9129","79.74","Non-Agricultural","Tanvi Mehta"
"584","Delhi","28.7041","77.1025","Agricultural Area","Varun Patel"
"937","Haryana","29.0588","76.0856","Agricultural Area","Yash Sharma"
"475","Karnataka","15.3173","75.7139","Non-Agricultural","Aarav Agarwal"
"264","Kerala","10.8505","76.2711","Residential Area","Aarti Bhatia"
"469","Maharashtra","19.7515","75.7139","Residential Area","Aditya Chopra"
"596","Punjab","31.1471","75.3412","Non-Agricultural","Alisha Das"
"654","Rajasthan","27.0238","74.2179","Agricultural Area","Anika Gupta"
"907","Tamil Nadu","11.1271","78.6569","Agricultural Area","Arjun Jain"
"764","Telengana","18.1124","79.0193","Residential Area","Ayush Khanna"
"119","Union Territory of Jammu and Kashmir","33.7782","76.5762","Agricultural Area","Chetan Kumar"
"430","Union Territory of Ladakh","34.2996","78.2932","Residential Area","Deepak Mehta"
"764","Uttar Pradesh","26.8467","80.9462","Non-Agricultural","Divya Patel"
"651","Uttarakhand","30.0668","79.0193","Non-Agricultural","Gaurav Sharma"
"127","Andhra Pradesh","15.9129","79.74","Agricultural Area","Ishaan Singh"
"935","Delhi","28.7041","77.1025","Agricultural Area","Jasmine Srivastava"
"981","Haryana","29.0588","76.0856","Non-Agricultural","Kavita Trivedi"
"112","Karnataka","15.3173","75.7139","Residential Area","Mohan Verma"
"743","Kerala","10.8505","76.2711","Residential Area","Neha Agarwal"
"149","Maharashtra","19.7515","75.7139","Non-Agricultural","Pooja Bhatia"
"336","Odisha","20.9517","85.0985","Agricultural Area","Rahul Chopra"
"898","Punjab","31.1471","75.3412","Non-Agricultural","Riya Das"
"674","Rajasthan","27.0238","74.2179","Agricultural Area","Sahil Gupta"
"399","Tamil Nadu","11.1271","78.6569","Residential Area","Sakshi Jain"
"248","Telengana","18.1124","79.0193","Non-Agricultural","Sanjay Khanna"
"350","Union Territory of Jammu and Kashmir","33.7782","76.5762","Residential Area","Shreya Kumar"
"357","Union Territory of Ladakh","34.2996","78.2932","Agricultural Area","Tanvi Mehta"
"642","Uttar Pradesh","26.8467","80.9462","Non-Agricultural","Varun Patel"
"940","Uttarakhand","30.0668","79.0193","Residential Area","Yash Sharma"
"525","Andhra Pradesh","15.9129","79.74","Residential Area","Aarav Agarwal"
"791","Delhi","28.7041","77.1025","Non-Agricultural","Aarti Bhatia"
"829","Haryana","29.0588","76.0856","Residential Area","Aditya Chopra"
"593","Karnataka","15.3173","75.7139","Residential Area","Alisha Das"
"616","Kerala","10.8505","76.2711","Residential Area","Anika Gupta"
"828","Maharashtra","19.7515","75.7139","Residential Area","Arjun Jain"
"743","Odisha","20.9517","85.0985","Residential Area","Ayush Khanna"
"918","Punjab","31.1471","75.3412","Residential Area","Chetan Kumar"
"982","Rajasthan","27.0238","74.2179","Non-Agricultural","Deepak Mehta"
"502","Tamil Nadu","11.1271","78.6569","Residential Area","Divya Patel"
"643","Telengana","18.1124","79.0193","Non-Agricultural","Gaurav Sharma"
"166","Union Territory of Jammu and Kashmir","33.7782","76.5762","Non-Agricultural","Ishaan Singh"
"103","Union Territory of Ladakh","34.2996","78.2932","Agricultural Area","Jasmine Srivastava"
"381","Uttar Pradesh","26.8467","80.9462","Non-Agricultural","Kavita Trivedi"
"509","Uttarakhand","30.0668","79.0193","Non-Agricultural","Mohan Verma"
"152","Andhra Pradesh","15.9129","79.74","Residential Area","Neha Agarwal"
"277","Delhi","28.7041","77.1025","Residential Area","Pooja Bhatia"
"461","Haryana","29.0588","76.0856","Non-Agricultural","Rahul Chopra"
"703","Karnataka","15.3173","75.7139","Residential Area","Riya Das"
"555","Kerala","10.8505","76.2711","Residential Area","Sahil Gupta"
"602","Maharashtra","19.7515","75.7139","Agricultural Area","Sakshi Jain"
"346","Odisha","20.9517","85.0985","Agricultural Area","Sanjay Khanna"
"255","Puducherry","11.9416","79.8083","Non-Agricultural","Shreya Kumar"
"596","Punjab","31.1471","75.3412","Non-Agricultural","Tanvi Mehta"
"315","Rajasthan","27.0238","74.2179","Residential Area","Varun Patel"
"411","Tamil Nadu","11.1271","78.6569","Residential Area","Yash Sharma"
"769","Telengana","18.1124","79.0193","Agricultural Area","Aarav Agarwal"
"925","Union Territory of Jammu and Kashmir","33.7782","76.5762","Non-Agricultural","Aarti Bhatia"
"733","Union Territory of Ladakh","34.2996","78.2932","Residential Area","Aditya Chopra"
"648","Uttar Pradesh","26.8467","80.9462","Residential Area","Alisha Das"
"336","Uttarakhand","30.0668","79.0193","Residential Area","Anika Gupta"
"596","West Bengal","22.9868","87.855","Agricultural Area","Arjun Jain"
"221","Andhra Pradesh","15.9129","79.74","Residential Area","Ayush Khanna"
"874","Chhattisgarh","21.2787","81.8661","Residential Area","Chetan Kumar"
"498","Delhi","28.7041","77.1025","Non-Agricultural","Deepak Mehta"
"516","Haryana","29.0588","76.0856","Non-Agricultural","Divya Patel"
"297","Karnataka","15.3173","75.7139","Non-Agricultural","Gaurav Sharma"
"680","Kerala","10.8505","76.2711","Residential Area","Ishaan Singh"
"511","Maharashtra","19.7515","75.7139","Residential Area","Jasmine Srivastava"
"792","Odisha","20.9517","85.0985","Residential Area","Kavita Trivedi"
"676","Puducherry","11.9416","79.8083","Non-Agricultural","Mohan Verma"
"737","Punjab","31.1471","75.3412","Agricultural Area","Neha Agarwal"
"202","Rajasthan","27.0238","74.2179","Non-Agricultural","Pooja Bhatia"
"634","Tamil Nadu","11.1271","78.6569","Agricultural Area","Rahul Chopra"
"709","Telengana","18.1124","79.0193","Non-Agricultural","Riya Das"
"131","Union Territory of Chandigarh","30.7333","76.7794","Residential Area","Sahil Gupta"
"311","Union Territory of Jammu and Kashmir","33.7782","76.5762","Agricultural Area","Sakshi Jain"
"456","Union Territory of Ladakh","34.2996","78.2932","Agricultural Area","Sanjay Khanna"
"589","Uttar Pradesh","26.8467","80.9462","Residential Area","Shreya Kumar"
"502","Uttarakhand","30.0668","79.0193","Residential Area","Tanvi Mehta"
"801","West Bengal","22.9868","87.855","Agricultural Area","Varun Patel"
"547","Andhra Pradesh","15.9129","79.74","Residential Area","Yash Sharma"
"458","Chhattisgarh","21.2787","81.8661","Residential Area","Aarav Agarwal"
"824","Delhi","28.7041","77.1025","Agricultural Area","Aarti Bhatia"
"248","Gujarat","22.2587","71.1924","Residential Area","Aditya Chopra"
"813","Haryana","29.0588","76.0856","Agricultural Area","Alisha Das"
"193","Karnataka","15.3173","75.7139","Non-Agricultural","Anika Gupta"
"969","Kerala","10.8505","76.2711","Agricultural Area","Arjun Jain"
"864","Maharashtra","19.7515","75.7139","Residential Area","Ayush Khanna"
"477","Odisha","20.9517","85.0985","Residential Area","Chetan Kumar"
"611","Puducherry","11.9416","79.8083","Agricultural Area","Deepak Mehta"
"259","Punjab","31.1471","75.3412","Agricultural Area","Divya Patel"
"291","Rajasthan","27.0238","74.2179","Residential Area","Gaurav Sharma"
"293","Tamil Nadu","11.1271","78.6569","Agricultural Area","Ishaan Singh"
"376","Telengana","18.1124","79.0193","Residential Area","Jasmine Srivastava"
"331","Union Territory of Chandigarh","30.7333","76.7794","Non-Agricultural","Kavita Trivedi"
"863","Union Territory of Jammu and Kashmir","33.7782","76.5762","Residential Area","Mohan Verma"
"476","Union Territory of Ladakh","34.2996","78.2932","Residential Area","Neha Agarwal"
"248","Uttar Pradesh","26.8467","80.9462","Residential Area","Pooja Bhatia"
"366","Uttarakhand","30.0668","79.0193","Residential Area","Rahul Chopra"
"573","West Bengal","22.9868","87.855","Agricultural Area","Riya Das"
"829","Andhra Pradesh","15.9129","79.74","Agricultural Area","Sahil Gupta"
"862","Chandigarh","30.7333","76.7794","Residential Area","Sakshi Jain"
"252","Chhattisgarh","21.2787","81.8661","Agricultural Area","Sanjay Khanna"
"876","Delhi","28.7041","77.1025","Residential Area","Shreya Kumar"
"716","Gujarat","22.2587","71.1924","Agricultural Area","Tanvi Mehta"
"787","Haryana","29.0588","76.0856","Non-Agricultural","Varun Patel"
"430","Himachal Pradesh","31.1048","77.1734","Agricultural Area","Yash Sharma"
"815","Jammu and Kashmir","33.7782","76.5762","Agricultural Area","Aarav Agarwal"
"577","Karnataka","15.3173","75.7139","Residential Area","Aarti Bhatia"
"690","Kerala","10.8505","76.2711","Non-Agricultural","Aditya Chopra"
"143","Ladakh","34.2996","78.2932","Residential Area","Alisha Das"
"124","Madhya Pradesh","22.9734","78.6569","Non-Agricultural","Anika Gupta"
"877","Maharashtra","19.7515","75.7139","Agricultural Area","Arjun Jain"
"228","Odisha","20.9517","85.0985","Non-Agricultural","Ayush Khanna"
"283","Puducherry","11.9416","79.8083","Agricultural Area","Chetan Kumar"
"393","Punjab","31.1471","75.3412","Non-Agricultural","Deepak Mehta"
"210","Rajasthan","27.0238","74.2179","Residential Area","Divya Patel"
"128","Tamil Nadu","11.1271","78.6569","Residential Area","Gaurav Sharma"
"575","Telengana","18.1124","79.0193","Residential Area","Ishaan Singh"
"809","Uttar Pradesh","26.8467","80.9462","Residential Area","Jasmine Srivastava"
"127","Uttarakhand","30.0668","79.0193","Residential Area","Kavita Trivedi"
"156","West Bengal","22.9868","87.855","Agricultural Area","Mohan Verma"
"662","Andhra Pradesh","15.9129","79.74","Agricultural Area","Neha Agarwal"
"590","Bihar","25.0961","85.3131","Non-Agricultural","Pooja Bhatia"
"758","Chandigarh","30.7333","76.7794","Non-Agricultural","Rahul Chopra"
"309","Chhattisgarh","21.2787","81.8661","Agricultural Area","Riya Das"
"654","Delhi","28.7041","77.1025","Non-Agricultural","Sahil Gupta"
"988","Gujarat","22.2587","71.1924","Residential Area","Sakshi Jain"
"909","Haryana","29.0588","76.0856","Agricultural Area","Aarav Agarwal"
"983","Himachal Pradesh","31.1048","77.1734","Agricultural Area","Aarti Bhatia"
"547","Jammu and Kashmir","33.7782","76.5762","Non-Agricultural","Aditya Chopra"
"616","Karnataka","15.3173","75.7139","Agricultural Area","Alisha Das"
"857","Kerala","10.8505","76.2711","Residential Area","Anika Gupta"
"390","Ladakh","34.2996","78.2932","Agricultural Area","Arjun Jain"
"552","Madhya Pradesh","22.9734","78.6569","Residential Area","Ayush Khanna"
"474","Maharashtra","19.7515","75.7139","Residential Area","Chetan Kumar"
"646","Odisha","20.9517","85.0985","Agricultural Area","Deepak Mehta"
"132","Puducherry","11.9416","79.8083","Agricultural Area","Divya Patel"
"756","Punjab","31.1471","75.3412","Residential Area","Gaurav Sharma"
"371","Rajasthan","27.0238","74.2179","Residential Area","Ishaan Singh"
"961","Tamil Nadu","11.1271","78.6569","Non-Agricultural","Jasmine Srivastava"
"492","Telengana","18.1124","79.0193","Non-Agricultural","Kavita Trivedi"
"373","Uttar Pradesh","26.8467","80.9462","Residential Area","Mohan Verma"
"850","Uttarakhand","30.0668","79.0193","Agricultural Area","Neha Agarwal"
"178","West Bengal","22.9868","87.855","Residential Area","Pooja Bhatia"
"750","Andhra Pradesh","15.9129","79.74","Residential Area","Rahul Chopra"
"696","Bihar","25.0961","85.3131","Residential Area","Riya Das"
"428","Chandigarh","30.7333","76.7794","Non-Agricultural","Sahil Gupta"
"998","Chhattisgarh","21.2787","81.8661","Non-Agricultural","Sakshi Jain"
"869","Delhi","28.7041","77.1025","Non-Agricultural","Sanjay Khanna"
"417","Gujarat","22.2587","71.1924","Residential Area","Pooja Bhatia"
"945","Haryana","29.0588","76.0856","Agricultural Area","Rahul Chopra"
"670","Himachal Pradesh","31.1048","77.1734","Residential Area","Riya Das"
"825","Jammu and Kashmir","33.7782","76.5762","Residential Area","Sahil Gupta"
"280","Karnataka","15.3173","75.7139","Residential Area","Sakshi Jain"
"526","Kerala","10.8505","76.2711","Agricultural Area","Sanjay Khanna"
"500","Ladakh","34.2996","78.2932","Residential Area","Shreya Kumar"
"740","Madhya Pradesh","22.9734","78.6569","Residential Area","Tanvi Mehta"
"800","Maharashtra","19.7515","75.7139","Agricultural Area","Varun Patel"
"161","Odisha","20.9517","85.0985","Non-Agricultural","Yash Sharma"
"173","Puducherry","11.9416","79.8083","Residential Area","Aarav Agarwal"
"396","Punjab","31.1471","75.3412","Non-Agricultural","Aarti Bhatia"
"682","Rajasthan","27.0238","74.2179","Residential Area","Aditya Chopra"
"329","Tamil Nadu","11.1271","78.6569","Non-Agricultural","Alisha Das"
"277","Telengana","18.1124","79.0193","Agricultural Area","Anika Gupta"
"334","Uttar Pradesh","26.8467","80.9462","Residential Area","Arjun Jain"
"128","Uttarakhand","30.0668","79.0193","Non-Agricultural","Ayush Khanna"
"716","West Bengal","22.9868","87.855","Non-Agricultural","Chetan Kumar"
"627","Andhra Pradesh","15.9129","79.74","Residential Area","Deepak Mehta"
"477","Bihar","25.0961","85.3131","Non-Agricultural","Divya Patel"
"925","Chandigarh","30.7333","76.7794","Non-Agricultural","Gaurav Sharma"
"658","Chhattisgarh","21.2787","81.8661","Non-Agricultural","Ishaan Singh"
"456","Delhi","28.7041","77.1025","Non-Agricultural","Jasmine Srivastava"
"951","Gujarat","22.2587","71.1924","Non-Agricultural","Kavita Trivedi"
"746","Haryana","29.0588","76.0856","Agricultural Area","Mohan Verma"
"755","Himachal Pradesh","31.1048","77.1734","Agricultural Area","Neha Agarwal"
"194","Jammu and Kashmir","33.7782","76.5762","Residential Area","Pooja Bhatia"
"171","Karnataka","15.3173","75.7139","Non-Agricultural","Rahul Chopra"
"826","Kerala","10.8505","76.2711","Non-Agricultural","Riya Das"
"506","Ladakh","34.2996","78.2932","Residential Area","Sahil Gupta"
"308","Madhya Pradesh","22.9734","78.6569","Agricultural Area","Sakshi Jain"
"322","Maharashtra","19.7515","75.7139","Residential Area","Sanjay Khanna"
"603","Manipur","24.6637","93.9063","Agricultural Area","Shreya Kumar"
"174","Odisha","20.9517","85.0985","Residential Area","Tanvi Mehta"
"321","Puducherry","11.9416","79.8083","Residential Area","Varun Patel"
"165","Punjab","31.1471","75.3412","Agricultural Area","Yash Sharma"
"183","Rajasthan","27.0238","74.2179","Residential Area","Aarav Agarwal"
"406","Tamil Nadu","11.1271","78.6569","Residential Area","Aarti Bhatia"
"611","Telengana","18.1124","79.0193","Agricultural Area","Aditya Chopra"
"236","Uttar Pradesh","26.8467","80.9462","Residential Area","Alisha Das"
"132","Uttarakhand","30.0668","79.0193","Agricultural Area","Anika Gupta"
"301","West Bengal","22.9868","87.855","Agricultural Area","Arjun Jain"
"161","Andhra Pradesh","15.9129","79.74","Agricultural Area","Ayush Khanna"
"872","Bihar","25.0961","85.3131","Residential Area","Chetan Kumar"
"658","Chandigarh","30.7333","76.7794","Residential Area","Deepak Mehta"
"633","Chhattisgarh","21.2787","81.8661","Agricultural Area","Divya Patel"
"351","Delhi","28.7041","77.1025","Residential Area","Gaurav Sharma"
"397","Gujarat","22.2587","71.1924","Agricultural Area","Ishaan Singh"
"583","Haryana","29.0588","76.0856","Residential Area","Jasmine Srivastava"
"509","Himachal Pradesh","31.1048","77.1734","Non-Agricultural","Kavita Trivedi"
"447","Jammu and Kashmir","33.7782","76.5762","Non-Agricultural","Mohan Verma"
"220","Karnataka","15.3173","75.7139","Agricultural Area","Neha Agarwal"
"659","Kerala","10.8505","76.2711","Agricultural Area","Pooja Bhatia"
"293","Ladakh","34.2996","78.2932","Non-Agricultural","Rahul Chopra"
"957","Madhya Pradesh","22.9734","78.6569","Agricultural Area","Riya Das"
"633","Maharashtra","19.7515","75.7139","Agricultural Area","Sahil Gupta"
"364","Manipur","24.6637","93.9063","Non-Agricultural","Sakshi Jain"
"667","Mizoram","23.1645","92.9376","Non-Agricultural","Sanjay Khanna"
"579","Odisha","20.9517","85.0985","Non-Agricultural","Shreya Kumar"
"984","Puducherry","11.9416","79.8083","Non-Agricultural","Tanvi Mehta"
"685","Punjab","31.1471","75.3412","Agricultural Area","Varun Patel"
"211","Rajasthan","27.0238","74.2179","Non-Agricultural","Yash Sharma"
"391","Tamil Nadu","11.1271","78.6569","Non-Agricultural","Aarav Agarwal"
"938","Telengana","18.1124","79.0193","Agricultural Area","Aarti Bhatia"
"920","Uttar Pradesh","26.8467","80.9462","Non-Agricultural","Aditya Chopra"
"961","Uttarakhand","30.0668","79.0193","Agricultural Area","Alisha Das"
"880","West Bengal","22.9868","87.855","Residential Area","Anika Gupta"
"521","Andaman and Nicobar Islands","11.7401","92.6586","Non-Agricultural","Arjun Jain"
"838","Andhra Pradesh","15.9129","79.74","Non-Agricultural","Ayush Khanna"
"921","Bihar","25.0961","85.3131","Agricultural Area","Chetan Kumar"
"445","Chandigarh","30.7333","76.7794","Non-Agricultural","Deepak Mehta"
"389","Chhattisgarh","21.2787","81.8661","Non-Agricultural","Divya Patel"
"108","Delhi","28.7041","77.1025","Residential Area","Gaurav Sharma"
"706","Goa","15.2993","74.124","Agricultural Area","Ishaan Singh"
